RSSI,NSINR,NRSRP,NRSRQ,BSLatitude,BSLongitude,UELatitude,UELongitude,UE_location,BS_location,UE_BS_pair
-66.86,17.52,-74.58500000000001,-7.715,41.864758,12.469067,41.866153,12.46863,41.866153_12.46863,41.864758_12.469067,41.866153_12.46863_41.864758_12.469067
-69.79,16.31,-77.595,-7.795,41.864758,12.469067,41.866074,12.46862,41.866074_12.46862,41.864758_12.469067,41.866074_12.46862_41.864758_12.469067
-64.61,20.0,-74.32,-9.7,41.864758,12.469067,41.866053,12.468629,41.866053_12.468629,41.864758_12.469067,41.866053_12.468629_41.864758_12.469067
-59.84,22.255,-68.815,-8.969999999999999,41.864758,12.469067,41.86606,12.468633,41.86606_12.468633,41.864758_12.469067,41.86606_12.468633_41.864758_12.469067
-60.36,25.33,-67.95,-7.58,41.864758,12.469067,41.866065,12.468632,41.866065_12.468632,41.864758_12.469067,41.866065_12.468632_41.864758_12.469067
-68.43,14.81,-76.465,-8.025,41.864758,12.469067,41.866058,12.468649,41.866058_12.468649,41.864758_12.469067,41.866058_12.468649_41.864758_12.469067
-63.85,17.28,-71.64500000000001,-7.785,41.864758,12.469067,41.866022,12.468678,41.866022_12.468678,41.864758_12.469067,41.866022_12.468678_41.864758_12.469067
-59.25,20.6325,-69.115,-9.8525,41.864758,12.469067,41.865914,12.468705,41.865914_12.468705,41.864758_12.469067,41.865914_12.468705_41.864758_12.469067
-53.35,23.655,-62.225,-8.865,41.864758,12.469067,41.865749,12.468783,41.865749_12.468783,41.864758_12.469067,41.865749_12.468783_41.864758_12.469067
-55.4,21.96,-62.93,-7.52,41.864758,12.469067,41.86573,12.4688,41.86573_12.4688,41.864758_12.469067,41.86573_12.4688_41.864758_12.469067
-61.88,17.13,-70.1425,-8.25,41.864758,12.469067,41.865645,12.468851,41.865645_12.468851,41.864758_12.469067,41.865645_12.468851_41.864758_12.469067
-56.18,20.56,-65.325,-9.13,41.864758,12.469067,41.865616,12.468914,41.865616_12.468914,41.864758_12.469067,41.865616_12.468914_41.864758_12.469067
-58.82,14.67,-68.31,-9.48,41.864758,12.469067,41.865607,12.468931,41.865607_12.468931,41.864758_12.469067,41.865607_12.468931_41.864758_12.469067
-59.07,17.53,-67.36,-8.280000000000001,41.864758,12.469067,41.865592,12.468949,41.865592_12.468949,41.864758_12.469067,41.865592_12.468949_41.864758_12.469067
-55.21,19.715,-62.84,-7.615,41.864758,12.469067,41.865515,12.468994,41.865515_12.468994,41.864758_12.469067,41.865515_12.468994_41.864758_12.469067
-50.95,20.225,-60.03,-9.07,41.864758,12.469067,41.865446,12.46902,41.865446_12.46902,41.864758_12.469067,41.865446_12.46902_41.864758_12.469067
-54.44,17.85,-64.33,-9.885,41.864758,12.469067,41.865352,12.469027,41.865352_12.469027,41.864758_12.469067,41.865352_12.469027_41.864758_12.469067
-52.42,14.05,-61.375,-8.945,41.864758,12.469067,41.865317,12.469038,41.865317_12.469038,41.864758_12.469067,41.865317_12.469038_41.864758_12.469067
-49.94,19.955,-58.75,-8.795,41.864758,12.469067,41.86519,12.469042,41.86519_12.469042,41.864758_12.469067,41.86519_12.469042_41.864758_12.469067
-50.15,15.26,-59.56,-9.4,41.864758,12.469067,41.865148,12.469063,41.865148_12.469063,41.864758_12.469067,41.865148_12.469063_41.864758_12.469067
-45.31,18.0375,-54.932500000000005,-9.675,41.864758,12.469067,41.865132,12.469063,41.865132_12.469063,41.864758_12.469067,41.865132_12.469063_41.864758_12.469067
-44.64,20.22,-50.52,-5.87,41.864758,12.469067,41.865132,12.469064,41.865132_12.469064,41.864758_12.469067,41.865132_12.469064_41.864758_12.469067
-46.1,23.09,-50.7,-4.59,41.864758,12.469067,41.865129,12.469062,41.865129_12.469062,41.864758_12.469067,41.865129_12.469062_41.864758_12.469067
-45.88,23.36,-50.5,-4.61,41.864758,12.469067,41.865123,12.469061,41.865123_12.469061,41.864758_12.469067,41.865123_12.469061_41.864758_12.469067
-44.26,20.21,-50.13,-5.86,41.864758,12.469067,41.865123,12.469066,41.865123_12.469066,41.864758_12.469067,41.865123_12.469066_41.864758_12.469067
-45.65,24.29,-50.2,-4.54,41.864758,12.469067,41.865132,12.469083,41.865132_12.469083,41.864758_12.469067,41.865132_12.469083_41.864758_12.469067
-46.12,23.54,-50.72,-4.58,41.864758,12.469067,41.865136,12.46909,41.865136_12.46909,41.864758_12.469067,41.865136_12.46909_41.864758_12.469067
-46.23,14.67,-58.945,-12.705,41.864758,12.469067,41.865141,12.469097,41.865141_12.469097,41.864758_12.469067,41.865141_12.469097_41.864758_12.469067
-47.0,13.46,-61.13,-14.125,41.864758,12.469067,41.865151,12.469108,41.865151_12.469108,41.864758_12.469067,41.865151_12.469108_41.864758_12.469067
-46.34,13.49,-60.86,-14.525,41.864758,12.469067,41.865167,12.469122,41.865167_12.469122,41.864758_12.469067,41.865167_12.469122_41.864758_12.469067
-46.19,14.04,-58.85,-12.655,41.864758,12.469067,41.865181,12.469132,41.865181_12.469132,41.864758_12.469067,41.865181_12.469132_41.864758_12.469067
-45.39,13.885000000000002,-59.525000000000006,-14.125,41.864758,12.469067,41.865196,12.46914,41.865196_12.46914,41.864758_12.469067,41.865196_12.46914_41.864758_12.469067
-46.07,23.55,-50.71,-4.63,41.864758,12.469067,41.865205,12.469145,41.865205_12.469145,41.864758_12.469067,41.865205_12.469145_41.864758_12.469067
-46.08,14.86,-59.365,-13.275,41.864758,12.469067,41.865212,12.469148,41.865212_12.469148,41.864758_12.469067,41.865212_12.469148_41.864758_12.469067
-45.03,9.895,-60.275000000000006,-15.025,41.864758,12.469067,41.865214,12.469149,41.865214_12.469149,41.864758_12.469067,41.865214_12.469149_41.864758_12.469067
-46.53,14.43,-59.775,-13.24,41.864758,12.469067,41.865223,12.469155,41.865223_12.469155,41.864758_12.469067,41.865223_12.469155_41.864758_12.469067
-46.41,14.345,-59.975,-13.555,41.864758,12.469067,41.86523,12.469159,41.86523_12.469159,41.864758_12.469067,41.86523_12.469159_41.864758_12.469067
-45.32,10.945,-59.08,-13.66,41.864758,12.469067,41.865233,12.469163,41.865233_12.469163,41.864758_12.469067,41.865233_12.469163_41.864758_12.469067
-46.28,23.12,-50.88,-4.59,41.864758,12.469067,41.865237,12.469165,41.865237_12.469165,41.864758_12.469067,41.865237_12.469165_41.864758_12.469067
-44.62,20.15,-50.53,-5.9,41.864758,12.469067,41.865238,12.469166,41.865238_12.469166,41.864758_12.469067,41.865238_12.469166_41.864758_12.469067
-46.17,23.38,-50.79,-4.62,41.864758,12.469067,41.86524,12.469168,41.86524_12.469168,41.864758_12.469067,41.86524_12.469168_41.864758_12.469067
-46.18,23.77,-50.81,-4.62,41.864758,12.469067,41.865243,12.46917,41.865243_12.46917,41.864758_12.469067,41.865243_12.46917_41.864758_12.469067
